Rank,Player,G,MP,PTS,AST,STL,FG%,3P%,FT%,WS,WS/48,Share
9,Deron Williams\willide01,76,36.9,18.7,10.5,1.3,0.469,0.371,0.801,10.3,0.177,0.006
10,Amar'e Stoudemire\stoudam01,82,34.6,23.1,1,0.6,0.557,0.167,0.771,10.7,0.181,0.004
1,Derrick Rose\rosede01,81,37.4,25,7.7,1,0.445,0.332,0.858,13.1,0.208,0.977
2,Dwight Howard\howardw01,78,37.6,22.9,1.4,1.4,0.593,0,0.596,14.4,0.235,0.531
3,LeBron James\jamesle01,79,38.8,26.7,7,1.6,0.51,0.33,0.759,15.6,0.244,0.431
4,Kobe Bryant\bryanko01,82,33.9,25.3,4.7,1.2,0.451,0.323,0.828,10.3,0.178,0.354
5,Kevin Durant\duranke01,78,38.9,27.7,2.7,1.1,0.462,0.35,0.88,12,0.189,0.157
6,Dirk Nowitzki\nowitdi01,73,34.3,23,2.6,0.5,0.517,0.393,0.892,11.1,0.213,0.093
7,Dwyane Wade\wadedw01,76,37.1,25.5,4.6,1.5,0.5,0.306,0.758,12.8,0.218,0.02
8,Manu Ginobili\ginobma01,80,30.3,17.4,4.9,1.5,0.433,0.349,0.871,9.9,0.195,0.017
9,Amar'e Stoudemire\stoudam01,78,36.8,25.3,2.6,0.9,0.502,0.435,0.792,8,0.134,0.007
10T,Blake Griffin\griffbl01,82,38,22.5,3.8,0.8,0.506,0.292,0.642,9.8,0.152,0.004
10T,Rajon Rondo\rondora01,68,37.2,10.6,11.2,2.3,0.475,0.233,0.568,6.6,0.126,0.004
1,LeBron James\jamesle01,62,37.5,27.1,6.2,1.9,0.531,0.362,0.771,14.5,0.298,0.888
2,Kevin Durant\duranke01,66,38.6,28,3.5,1.3,0.496,0.387,0.86,12.2,0.23,0.735
3,Chris Paul\paulch01,60,36.4,19.8,9.1,2.5,0.478,0.371,0.861,12.7,0.278,0.318
4,Kobe Bryant\bryanko01,58,38.5,27.9,4.6,1.2,0.43,0.303,0.845,6.2,0.132,0.291
5,Tony Parker\parketo01,60,32.1,18.3,7.7,1,0.48,0.23,0.799,7.1,0.177,0.274
6,Kevin Love\loveke01,55,39,26,2,0.9,0.448,0.372,0.824,10,0.223,0.048
7,Dwight Howard\howardw01,54,38.3,20.6,1.9,1.5,0.573,0,0.491,7.7,0.179,0.011
8,Rajon Rondo\rondora01,53,36.9,11.9,11.7,1.8,0.448,0.238,0.597,4.9,0.121,0.01
9,Steve Nash\nashst01,62,31.6,12.5,10.7,0.6,0.532,0.39,0.894,5.9,0.144,0.006
10,Dwyane Wade\wadedw01,49,33.2,22.1,4.6,1.7,0.497,0.268,0.791,7.7,0.227,0.005
1,LeBron James\jamesle01,76,37.9,26.8,7.3,1.7,0.565,0.406,0.753,19.3,0.322,0.998
2,Kevin Durant\duranke01,81,38.5,28.1,4.6,1.4,0.51,0.416,0.905,18.9,0.291,0.632
3,Carmelo Anthony\anthoca01,67,37,28.7,2.6,0.8,0.449,0.379,0.83,9.5,0.184,0.393
4,Chris Paul\paulch01,70,33.4,16.9,9.7,2.4,0.481,0.328,0.885,13.9,0.287,0.239
5,Kobe Bryant\bryanko01,78,38.6,27.3,6,1.4,0.463,0.324,0.839,10.9,0.174,0.152
6,Tony Parker\parketo01,66,32.9,20.3,7.6,0.8,0.522,0.353,0.845,9.3,0.206,0.071
7,Tim Duncan\duncati01,69,30.1,17.8,2.7,0.7,0.502,0.286,0.817,8.3,0.191,0.054
8,James Harden\hardeja01,78,38.3,25.9,5.8,1.8,0.438,0.368,0.851,12.8,0.206,0.027
9,Russell Westbrook\westbru01,82,34.9,23.2,7.4,1.8,0.438,0.323,0.8,11.6,0.195,0.007
10,Dwyane Wade\wadedw01,69,34.7,21.2,5.1,1.9,0.521,0.258,0.725,9.6,0.192,0.004
